id,question,referenceAnswers,answer,correct
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,first ten amentmends u constitution,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,tip tongue think right,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,first 5 bill right,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill righta,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,human right,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,free speech bear arm fair trial,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,freedom speech religion right bear arm search seizure right trial one cruel unusual punishment right state remember 6,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,sure,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,declaration independence,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,know,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,us constitution,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,constitution,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,article,0
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill rightsq,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
1,first ten amendment u constitution call,bill right,bill right,1
